"","parameter","value(s)"
"1","MUTSIN Start Year",1995
"2","MUTSIN End Year",2010
"3","HSPF-Sup File Header Number for Pasture in MON-ACCUM Table",25
"4","HSPF-Sup File Header Number for Pasture in MON-SQOLIM Table",77
"5","HSPF-Sup File Header Number for Forest in MON-ACCUM Table",24
"6","HSPF-Sup File Header Number for Forest in MON-SQOLIM Table",76
"7","HSPF-Sup File Header Number for Residential/Agricultural Operration Area/Commercial/Urban/Transportation in MON-ACCUM Table",26
"8","HSPF-Sup File Header Number for Residential/Agricultural Operration Area/Commercial/Urban/Transportation in MON-SQOLIM Table",78
"9","SQOLIM multiplcation factor",9
"10","Pasture Area in Watershed (ac)",323.06
"11","Forest Area in Watershed (ac)",2030.6
"12","Residential/Agricultural Operration Area/Commercial/Urban/Transportation (ac)",168.44
"13","Animal Density (animal/ac)",0.036063
"14","Percent of animals in and around streams",1
"15","Bacteria Production of animal per day (orgs/day)",900001150
