OBJECTID,hspf_id,Seg_Name,Shape_Length,Shape_Area
1,1,Forest,199075.891006011660000,23068527.854206331000000
2,1,Pasture,42556.261933670750000,1478270.516138896600000
4,2,Forest,197580.439487911590000,16183683.988620723000000
5,2,Pasture,45167.188126763169000,1127795.975281513500000
7,3,Forest,227.610837301791410,1857.775629262715700
8,3,Pasture,1221.268789950421000,18316.366662687255000
10,4,Forest,88799.422381175318000,7581343.557937025100000
11,4,Pasture,19522.359745822301000,493857.590195372000000
13,5,Forest,15425.482796834092000,816499.198515605650000
14,5,Pasture,12650.817136092497000,451858.929629666500000
16,6,Forest,76186.958945773789000,7906394.516579324400000
17,6,Pasture,15351.645621795418000,578889.172987061550000
19,7,Forest,27366.039646435795000,2424701.324359167800000
20,7,Pasture,14775.677178531098000,744373.306459806510000
22,8,Forest,95964.092654791893000,11990423.359623626000000
23,8,Pasture,12793.197725013182000,453398.509531437420000
25,9,Forest,71659.574758132789000,10207385.625873979000000
26,9,Pasture,9120.159332035622400,199882.341997921180000
28,10,Forest,14362.770909246277000,814050.216995145190000
29,10,Pasture,2830.576538440211200,44829.304828777153000
31,11,Forest,136309.655568124440000,11923740.436035501000000
32,11,Pasture,15338.467102340297000,349246.656894168700000
34,12,Forest,32161.663748483745000,3638271.571416295600000
35,12,Pasture,2388.475788755417900,30388.540213789056000
37,13,Forest,191459.406471283870000,14616339.696462052000000
38,13,Pasture,61162.918198282168000,1864044.179514895700000
40,14,Forest,116743.722270380850000,7108706.062850672800000
41,14,Pasture,32912.918152524791000,854963.739281199410000
43,15,Forest,1259.295336278577200,23930.520476696358000
44,15,Pasture,172.534184688162160,680.018292292923660
46,16,Forest,112533.407768956850000,8628696.371703792400000
47,16,Pasture,20797.871637137425000,543528.981662074220000
49,17,Forest,55548.682548145262000,1790927.636513304000000
50,17,Pasture,24101.943089081793000,772120.080564551400000
52,18,Forest,103464.949843998590000,7447563.181147350000000
53,18,Pasture,17147.512148566602000,334814.700092737330000
