"","Month","pop.total","pop.total.on.land","pop.total.in.stream","pop.total.on.pasture","pop.total.in.forest","pop.total.on.RAOCUT","pop.on.pasture.wo.stream.access","pop.on.pasture.w.stream.access","pop.from.pasture.in.stream","pop.in.forest.wo.stream.access","pop.in.forest.w.stream.access","pop.from.forest.in.stream","pop.on.raocut.wo.stream.access","pop.on.raocut.w.stream.access","pop.from.raocut.in.stream","bac.total","bac.total.to.land","bac.total.in.stream","bac.on.pasture.wo.stream.access","bac.on.pasture.w.stream.access","bac.from.pasture.in.stream","bac.on.forest.wo.stream.access","bac.on.forest.w.stream.access","bac.from.forest.in.stream","bac.on.RAOCUT.wo.stream.access","bac.on.RAOCUT.w.stream.access","bac.from.RAOCUT.in.stream","bac.Pasture","bac.Forest","bac.RAOCUT","Accum.Pasture","Accum.Forest","Accum.RAOCUT","SQLIM.factor","MUTSIN.Start.Year","MUTSIN.End.Year","SUP.ACCUM.pastrure.line","SUP.SQLIM.pastrure.line","SUP.ACCUM.forest.line","SUP.SQLIM.forest.line","SUP.ACCUM.RAOCUT.line","SUP.SQLIM.RAOCUT.line"
"1","Jan",19,19,0,1,18,0,1,0,0,9,9,0,0,0,0,1.2635e+10,1.2635e+10,0,6.65e+08,0,0,5.985e+09,5.985e+09,0,0,0,0,6.65e+08,1.197e+10,0,1820471.40627994,2099871.06054891,0,9,1995,2010,25,77,24,76,26,78
"2","Feb",19,19,0,1,18,0,1,0,0,9,9,0,0,0,0,1.2635e+10,1.2635e+10,0,6.65e+08,0,0,5.985e+09,5.985e+09,0,0,0,0,6.65e+08,1.197e+10,0,1820471.40627994,2099871.06054891,0,9,1995,2010,25,77,24,76,26,78
"3","Mar",19,19,0,1,18,0,1,0,0,9,9,0,0,0,0,1.2635e+10,1.2635e+10,0,6.65e+08,0,0,5.985e+09,5.985e+09,0,0,0,0,6.65e+08,1.197e+10,0,1820471.40627994,2099871.06054891,0,9,1995,2010,25,77,24,76,26,78
"4","Apr",98,94,4,2,92,0,2,0,0,59,33,4,0,0,0,6.517e+10,6.251e+10,110833333.333333,1.33e+09,0,0,3.9235e+10,2.1945e+10,2.66e+09,0,0,0,1.33e+09,6.118e+10,0,20604182.8040279,28650235.786102,0,9,1995,2010,25,77,24,76,26,78
"5","May",98,94,4,2,92,0,2,0,0,59,33,4,0,0,0,6.517e+10,6.251e+10,110833333.333333,1.33e+09,0,0,3.9235e+10,2.1945e+10,2.66e+09,0,0,0,1.33e+09,6.118e+10,0,20604182.8040279,28650235.786102,0,9,1995,2010,25,77,24,76,26,78
"6","Jun",98,94,4,2,92,0,2,0,0,59,33,4,0,0,0,6.517e+10,6.251e+10,110833333.333333,1.33e+09,0,0,3.9235e+10,2.1945e+10,2.66e+09,0,0,0,1.33e+09,6.118e+10,0,20604182.8040279,28650235.786102,0,9,1995,2010,25,77,24,76,26,78
"7","Jul",98,94,4,2,92,0,2,0,0,59,33,4,0,0,0,6.517e+10,6.251e+10,110833333.333333,1.33e+09,0,0,3.9235e+10,2.1945e+10,2.66e+09,0,0,0,1.33e+09,6.118e+10,0,20604182.8040279,28650235.786102,0,9,1995,2010,25,77,24,76,26,78
"8","Aug",98,94,4,2,92,0,2,0,0,59,33,4,0,0,0,6.517e+10,6.251e+10,110833333.333333,1.33e+09,0,0,3.9235e+10,2.1945e+10,2.66e+09,0,0,0,1.33e+09,6.118e+10,0,20604182.8040279,28650235.786102,0,9,1995,2010,25,77,24,76,26,78
"9","Sep",98,94,4,2,92,0,2,0,0,59,33,4,0,0,0,6.517e+10,6.251e+10,110833333.333333,1.33e+09,0,0,3.9235e+10,2.1945e+10,2.66e+09,0,0,0,1.33e+09,6.118e+10,0,20604182.8040279,28650235.786102,0,9,1995,2010,25,77,24,76,26,78
"10","Oct",98,94,4,2,92,0,2,0,0,59,33,4,0,0,0,6.517e+10,6.251e+10,110833333.333333,1.33e+09,0,0,3.9235e+10,2.1945e+10,2.66e+09,0,0,0,1.33e+09,6.118e+10,0,20604182.8040279,28650235.786102,0,9,1995,2010,25,77,24,76,26,78
"11","Nov",19,19,0,1,18,0,1,0,0,9,9,0,0,0,0,1.2635e+10,1.2635e+10,0,6.65e+08,0,0,5.985e+09,5.985e+09,0,0,0,0,6.65e+08,1.197e+10,0,1820471.40627994,2099871.06054891,0,9,1995,2010,25,77,24,76,26,78
"12","Dec",19,19,0,1,18,0,1,0,0,9,9,0,0,0,0,1.2635e+10,1.2635e+10,0,6.65e+08,0,0,5.985e+09,5.985e+09,0,0,0,0,6.65e+08,1.197e+10,0,1820471.40627994,2099871.06054891,0,9,1995,2010,25,77,24,76,26,78
