OBJECTID,Seg_Name,hspf_id,Shape_Length,Shape_Area
1,Forest,1,51217.953805515281000,821198.724222043180000
2,Forest,2,33862.059894662787000,502028.773641638810000
3,Forest,3,183.291656846261330,1491.809113669692800
4,Forest,4,20090.177408203421000,287289.194696731230000
5,Forest,5,1293.263582639570100,14234.938440449161000
6,Forest,6,25546.099693740533000,384045.139233135560000
7,Forest,7,4320.565644665519400,56404.726385761634000
8,Forest,8,10595.257374414712000,149476.100880719520000
9,Forest,9,17110.014518220469000,286164.190870081370000
10,Forest,10,2591.351573964449000,40082.773322339017000
11,Forest,11,14047.288538386978000,215489.995268026690000
12,Forest,12,7097.721498218593300,115890.537577478270000
13,Forest,13,26813.594643682591000,398759.478772595930000
14,Forest,14,15073.929104069792000,217893.799747508540000
15,Forest,15,892.600542772286530,10978.500101014735000
16,Forest,16,14607.321785421091000,230751.843130684570000
17,Forest,17,6037.484636771049700,86367.841294963873000
18,Forest,18,18010.880614925489000,257008.586343392230000
19,Pasture,1,9533.792486502043200,126703.694776381190000
20,Pasture,2,6262.280469721193200,59377.849954057150000
21,Pasture,3,659.413279177469240,5337.731597986359700
22,Pasture,4,6213.543055642333500,73501.111892415604000
23,Pasture,5,2932.406408487109700,38656.257184785209000
24,Pasture,6,4968.715595150371000,64478.542591246362000
25,Pasture,7,5126.881526005434400,79249.028115655718000
26,Pasture,8,1711.016338494530800,17629.521803446678000
27,Pasture,9,1012.214284639535900,8424.800585090066300
28,Pasture,11,913.966266174033650,9634.860071056960800
29,Pasture,12,541.216224236408380,6317.317760372243400
30,Pasture,13,10400.367671761551000,118357.978260691950000
31,Pasture,14,3250.412389440255500,26761.894308366260000
32,Pasture,16,4294.430373129188400,48773.024327721148000
33,Pasture,17,1162.577413372685900,9064.700721536441100
34,Pasture,18,1440.863895510182600,15295.192941515537000
