"ls","wtsd","len","area"
"Forest",1,9.7,18.85
"Forest",2,6.41,11.52
"Forest",3,0.03,0.03
"Forest",4,3.8,6.6
"Forest",5,0.24,0.33
"Forest",6,4.84,8.82
"Forest",7,0.82,1.29
"Forest",8,2.01,3.43
"Forest",9,3.24,6.57
"Forest",10,0.49,0.92
"Forest",11,2.66,4.95
"Forest",12,1.34,2.66
"Forest",13,5.08,9.15
"Forest",14,2.85,5
"Forest",15,0.17,0.25
"Forest",16,2.77,5.3
"Forest",17,1.14,1.98
"Forest",18,3.41,5.9
"Pasture",1,1.81,2.91
"Pasture",2,1.19,1.36
"Pasture",3,0.12,0.12
"Pasture",4,1.18,1.69
"Pasture",5,0.56,0.89
"Pasture",6,0.94,1.48
"Pasture",7,0.97,1.82
"Pasture",8,0.32,0.4
"Pasture",9,0.19,0.19
"Pasture",11,0.17,0.22
"Pasture",12,0.1,0.15
"Pasture",13,1.97,2.72
"Pasture",14,0.62,0.61
"Pasture",16,0.81,1.12
"Pasture",17,0.22,0.21
"Pasture",18,0.27,0.35
