"","Month","pop.pet.total","num.onsite.NearStrmStrctPre1974","num.onsite.NearStrmStrct1974to1986","num.onsite.NearStrmStrctPost1986","num.onsite.NearStrmStrct","num.onsite.NearStrmStrctFailurePre1974","num.onsite.NearStrmStrctFailure1974to1986","num.onsite.NearStrmStrctFailurePost1986","num.onsite.NearStrmStrctFailure","num.onsite.NearStrmStrctFailureInStream","bac.pets.load","bac.onsite.NearStrmStrctFailurePre1974","bac.onsite.NearStrmStrctFailure1974to1986","bac.onsite.NearStrmStrctFailurePost1986","bac.onsite.NearStrmStrctFailure","bac.onsite.NearStrmStrctFailure.to.stream.load","Accum.RAOCUT","SQLIM.factor","MUTSIN.Start.Year","MUTSIN.End.Year","AccumRAOCUTRow","LimRAOCUTRow"
"1","Jan",259,11,5,8,24,2,1,0,3,3,1.23025e+12,63333333333.3333,31666666666.6667,0,9.5e+10,9.5e+10,2824913892.07807,9,1995,2010,26,78
"2","Feb",259,11,5,8,24,2,1,0,3,3,1.23025e+12,63333333333.3333,31666666666.6667,0,9.5e+10,9.5e+10,2824913892.07807,9,1995,2010,26,78
"3","Mar",259,11,5,8,24,2,1,0,3,3,1.23025e+12,63333333333.3333,31666666666.6667,0,9.5e+10,9.5e+10,2824913892.07807,9,1995,2010,26,78
"4","Apr",259,11,5,8,24,2,1,0,3,3,1.23025e+12,63333333333.3333,31666666666.6667,0,9.5e+10,9.5e+10,2824913892.07807,9,1995,2010,26,78
"5","May",259,11,5,8,24,2,1,0,3,3,1.23025e+12,63333333333.3333,31666666666.6667,0,9.5e+10,9.5e+10,2824913892.07807,9,1995,2010,26,78
"6","Jun",259,11,5,8,24,2,1,0,3,3,1.23025e+12,63333333333.3333,31666666666.6667,0,9.5e+10,9.5e+10,2824913892.07807,9,1995,2010,26,78
"7","Jul",259,11,5,8,24,2,1,0,3,3,1.23025e+12,63333333333.3333,31666666666.6667,0,9.5e+10,9.5e+10,2824913892.07807,9,1995,2010,26,78
"8","Aug",259,11,5,8,24,2,1,0,3,3,1.23025e+12,63333333333.3333,31666666666.6667,0,9.5e+10,9.5e+10,2824913892.07807,9,1995,2010,26,78
"9","Sep",259,11,5,8,24,2,1,0,3,3,1.23025e+12,63333333333.3333,31666666666.6667,0,9.5e+10,9.5e+10,2824913892.07807,9,1995,2010,26,78
"10","Oct",259,11,5,8,24,2,1,0,3,3,1.23025e+12,63333333333.3333,31666666666.6667,0,9.5e+10,9.5e+10,2824913892.07807,9,1995,2010,26,78
"11","Nov",259,11,5,8,24,2,1,0,3,3,1.23025e+12,63333333333.3333,31666666666.6667,0,9.5e+10,9.5e+10,2824913892.07807,9,1995,2010,26,78
"12","Dec",259,11,5,8,24,2,1,0,3,3,1.23025e+12,63333333333.3333,31666666666.6667,0,9.5e+10,9.5e+10,2824913892.07807,9,1995,2010,26,78
